id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
7786500,2017-09-03,41.9601276331,-111.6579344777,Cache,Utah,United States,Polygonia gracilis zephyrus,Zephyr Comma,Nymphalidae,Polygonia,Polygonia gracilis,Polygonia gracilis zephyrus
7787925,2017-09-02,45.3741882113,-110.4856184389,Park,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7788120,2017-09-02,45.3747437904,-110.4852951837,Park,Montana,United States,Polygonia gracilis,Hoary Comma,Nymphalidae,Polygonia,Polygonia gracilis,
7788178,2017-09-02,45.3746534291,-110.4853444464,Park,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7788243,2017-09-02,45.374877976,-110.485298419,Park,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7788383,2017-09-02,45.3756379594,-110.4853118987,Park,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui,
7788497,2017-09-02,45.3740974131,-110.4855446122,Park,Montana,United States,Colias philodice,Clouded Sulphur,Pieridae,Colias,Colias philodice,
7788556,2017-09-02,45.3735869797,-110.4833963679,Park,Montana,United States,Polygonia faunus,Green Comma,Nymphalidae,Polygonia,Polygonia faunus,
7788889,2017-09-03,45.3463885129,-110.5095553225,Park,Montana,United States,Colias philodice,Clouded Sulphur,Pieridae,Colias,Colias philodice,
7788955,2017-09-03,45.346346949,-110.5094853233,Park,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7789014,2017-09-03,45.3463927085,-110.509673014,Park,Montana,United States,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,Thymelicus lineola,
7789119,2017-09-03,45.3463766993,-110.5097015227,Park,Montana,United States,Colias philodice,Clouded Sulphur,Pieridae,Colias,Colias philodice,
